Time,Event context,Component,Event name,Description
"22/02/21, 13:36",Assignment: ??????? ?? ??????? ?????? ? ???????,File submissions,A file has been uploaded.,The user with id '8444' has uploaded a file to the submission with id '22303' in the assignment activity with course module id '4717'.
"22/02/21, 13:36",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,Course module viewed,The user with id '8444' viewed the 'assign' activity with course module id '4717'.
"22/02/21, 13:35",Course: Semantic Web,System,Course viewed,The user with id '8411' viewed the course with id '130'.
"22/02/21, 13:35",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,The status of the submission has been viewed.,The user with id '8443' has viewed the submission status page for the assignment with course module id '4717'.
"22/02/21, 13:35",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,Course module viewed,The user with id '8443' viewed the 'assign' activity with course module id '4717'.
"22/02/21, 13:35",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,A submission has been submitted.,The user with id '8443' has submitted the submission with id '23631' for the assignment with course module id '4717'.
"22/02/21, 13:35",Assignment: ??????? ?? ??????? ?????? ? ???????,File submissions,Submission updated.,The user with id '8443' updated a file submission and uploaded '1' file/s in the assignment with course module id '4717'.
"22/02/21, 13:35",Assignment: ??????? ?? ??????? ?????? ? ???????,File submissions,A file has been uploaded.,The user with id '8443' has uploaded a file to the submission with id '23631' in the assignment activity with course module id '4717'.
"22/02/21, 13:35",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,Course module viewed,The user with id '8443' viewed the 'assign' activity with course module id '4717'.
"22/02/21, 13:35",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,Submission form viewed.,The user with id '8444' viewed their submission for the assignment with course module id '4717'.
"22/02/21, 13:35",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,Course module viewed,The user with id '8444' viewed the 'assign' activity with course module id '4717'.
"22/02/21, 13:34",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,Submission form viewed.,The user with id '8443' viewed their submission for the assignment with course module id '4717'.
"22/02/21, 13:34",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,Course module viewed,The user with id '8443' viewed the 'assign' activity with course module id '4717'.
"22/02/21, 13:34",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,The status of the submission has been viewed.,The user with id '8443' has viewed the submission status page for the assignment with course module id '4717'.
"22/02/21, 13:34",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,Course module viewed,The user with id '8443' viewed the 'assign' activity with course module id '4717'.
"22/02/21, 13:34",Course: Semantic Web,System,Course viewed,The user with id '8443' viewed the course with id '130'.
"22/02/21, 13:32",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,The status of the submission has been viewed.,The user with id '8444' has viewed the submission status page for the assignment with course module id '4717'.
"22/02/21, 13:32",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,Course module viewed,The user with id '8444' viewed the 'assign' activity with course module id '4717'.
